client_id,client_type,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,age,purchases,total_investment,avg_purchase_price,avg_area_sqft,avg_price_per_sqft,towers,segment,cluster,is_loan,is_investment
C0001,Individual,F,USA,California,Home,4,Yes,Website,57.8,4,1246764.72,311691.18,983.885,319.96317185861204,4,Value-Oriented Buyers,0,1,0
C0002,Individual,M,USA,California,Home,1,No,Website,63.7,5,1841095.93,368219.1860000001,1187.942,313.1679087042186,5,Premium Home Buyers,1,0,0
C0003,Individual,M,USA,California,Home,4,Yes,Agency,67.1,5,1661457.59,332291.518,1058.11,310.797967102675,5,Premium Home Buyers,1,1,0
C0004,Individual,M,USA,California,Home,5,No,Website,66.7,6,1608263.51,268043.91833333333,937.1033333333334,275.5640860802061,5,Frequent / Portfolio Buyers,2,0,0
C0005,Company,M,USA,California,Investment,5,No,Website,50.5,13,3653385.38,281029.64461538463,927.296153846154,299.39886333356816,5,Frequent / Portfolio Buyers,2,0,1
C0006,Individual,M,USA,California,Home,3,Yes,Website,69.2,5,1514131.06,302826.212,989.59,301.81143627425695,5,Value-Oriented Buyers,0,1,0
C0007,Individual,M,Canada,Quebec,Investment,5,No,Website,79.2,11,3251147.83,295558.8936363636,995.6936363636364,296.0091174822707,6,Frequent / Portfolio Buyers,2,0,1
C0008,Individual,F,USA,California,Home,5,No,Website,56.8,5,1476730.41,295346.08200000005,1031.106,289.273363570013,5,Value-Oriented Buyers,0,0,0
C0009,Individual,M,USA,California,Investment,5,No,Agency,51.3,5,1820832.35,364166.47,1305.644,274.38568336203406,4,Premium Home Buyers,1,0,1
C0010,Individual,M,USA,Oregon,Investment,3,No,Agency,60.2,5,1732434.0,346486.8,1140.206,309.13580924027326,4,Premium Home Buyers,1,0,1
C0011,Individual,F,USA,California,Home,2,Yes,Website,70.2,5,1325211.52,265042.304,935.914,282.7741404393233,5,Value-Oriented Buyers,0,1,0
C0012,Company,M,USA,California,Investment,5,No,Website,51.3,4,1599526.4,399881.6,1317.445,299.78630561500273,4,Premium Home Buyers,1,0,1
C0013,Individual,M,USA,California,Home,1,Yes,Website,63.8,5,2142750.89,428550.178,1407.376,301.97365713513284,4,Premium Home Buyers,1,1,0
C0014,Company,M,USA,California,Home,3,Yes,Website,45.8,4,1548140.0699999998,387035.0175,1280.5425,301.30993275732385,4,Premium Home Buyers,1,1,0
C0015,Individual,F,USA,California,Home,5,No,Client,85.0,5,1585907.37,317181.47400000005,1030.764,303.1325098373545,4,Value-Oriented Buyers,0,0,0
C0016,Individual,F,USA,California,Investment,5,No,Website,87.4,4,1010217.73,252554.4325,842.145,300.3778723095888,4,Value-Oriented Buyers,0,0,1
C0017,Individual,M,USA,Arizona,Home,3,No,Client,49.0,5,1778693.75,355738.75,1195.814,299.2817021286784,4,Premium Home Buyers,1,0,0
C0018,Individual,M,USA,California,Home,2,Yes,Agency,59.1,4,1061478.67,265369.6675,913.8325,291.28189258355934,4,Value-Oriented Buyers,0,1,0
C0019,Individual,M,USA,California,Home,5,Yes,Client,68.9,4,1773474.26,443368.565,1402.0425,312.4888439477021,4,Premium Home Buyers,1,1,0
C0020,Individual,F,USA,California,Home,5,No,Website,58.8,4,1508032.25,377008.0625,1307.08,286.06024372846275,4,Premium Home Buyers,1,0,0
C0021,Individual,M,USA,Oregon,Investment,3,No,Website,87.9,6,1928172.72,321362.12,1028.86,310.2368361355155,5,Frequent / Portfolio Buyers,2,0,1
C0022,Individual,M,Germany,Berlin,Investment,5,No,Agency,59.9,4,1372403.2,343100.8,1247.485,275.0762597580429,4,Premium Home Buyers,1,0,1
C0023,Individual,M,USA,California,Home,3,Yes,Website,68.2,5,1457871.69,291574.338,948.388,304.79852506678174,5,Value-Oriented Buyers,0,1,0
C0024,Individual,M,USA,California,Investment,4,No,Website,63.3,6,1884156.9,314026.15,1053.735,294.8022223615109,5,Frequent / Portfolio Buyers,2,0,1
C0025,Individual,M,USA,Nevada,Home,2,Yes,Website,89.6,5,1694448.83,338889.766,1120.576,301.3231590304242,5,Premium Home Buyers,1,1,0
C0026,Individual,M,USA,California,Investment,5,No,Website,63.9,10,2932241.75,293224.175,1002.383,299.4336686170726,7,Frequent / Portfolio Buyers,2,0,1
C0027,Individual,M,USA,California,Home,5,Yes,Website,58.0,5,1517969.44,303593.888,1070.234,286.1007546565657,4,Value-Oriented Buyers,0,1,0
C0028,Individual,F,USA,California,Home,3,No,Client,68.3,5,1791082.79,358216.558,1266.366,287.18845760262764,5,Premium Home Buyers,1,0,0
C0029,Individual,F,USA,Colorado,Home,4,Yes,Agency,50.5,4,1247795.31,311948.8275,993.05,312.3370151079838,3,Value-Oriented Buyers,0,1,0
C0030,Individual,F,USA,Nevada,Home,3,No,Website,74.1,4,1547311.29,386827.8225,1279.3725,301.15138496976226,4,Premium Home Buyers,1,0,0
C0031,Individual,M,USA,Nevada,Home,4,Yes,Website,48.6,5,1077148.21,215429.642,677.3399999999999,316.7550430148504,5,Value-Oriented Buyers,0,1,0
C0032,Individual,M,USA,California,Home,4,No,Website,59.8,5,1888995.16,377799.032,1282.528,297.27578497808724,5,Premium Home Buyers,1,0,0
C0033,Individual,F,USA,California,Home,3,Yes,Website,58.0,4,1404998.67,351249.6675,1250.4325,282.3664604545738,4,Premium Home Buyers,1,1,0
C0034,Individual,F,Belgium,Brussels,Home,2,No,Agency,56.8,5,1632608.66,326521.732,1160.556,285.1147228727872,4,Premium Home Buyers,1,0,0
C0035,Individual,M,Mexico,Mexico City,Home,3,No,Agency,60.7,5,1987876.4,397575.28,1445.752,278.7295525133892,5,Premium Home Buyers,1,0,0
C0036,Individual,M,USA,California,Home,4,No,Website,53.6,4,1173683.53,293420.8825,963.325,301.30234093415066,4,Value-Oriented Buyers,0,0,0
C0037,Individual,F,USA,California,Home,5,Yes,Website,64.6,5,1607228.75,321445.75,1018.368,313.6317891215475,4,Value-Oriented Buyers,0,1,0
C0038,Individual,F,USA,California,Investment,4,No,Client,51.6,4,1175129.27,293782.3175,1105.1225,272.8702422858949,4,Value-Oriented Buyers,0,0,1
C0039,Individual,F,Russia,Krasnodar Krai,Home,1,No,Agency,59.2,4,1858527.54,464631.885,1365.68,338.65862610327133,4,Premium Home Buyers,1,0,0
C0040,Individual,M,USA,Nevada,Home,5,No,Website,51.4,6,1854608.29,309101.38166666665,1047.8,291.4677238378165,5,Frequent / Portfolio Buyers,2,0,0
C0041,Individual,M,USA,Arizona,Home,1,Yes,Website,59.3,5,1374460.79,274892.158,872.838,318.85709837389675,4,Value-Oriented Buyers,0,1,0
