segment,listing_id,tower_number,unit_category,unit_number,floor_area_sqft,sale_price_num,price_per_sqft,listing_status,match_score
Value-Oriented Buyers,110235,11,Apartment,29,993.51,296167.83,298.10251532445574,Available,0.00012669473680407685
Value-Oriented Buyers,60105,6,Apartment,8,986.97,300282.89,304.24723142547396,Available,0.0006730895483521965
Value-Oriented Buyers,190427,19,Apartment,49,1004.26,294799.49,293.548971381913,Available,0.0011216411232425855
Value-Oriented Buyers,100001,10,Apartment,1,1006.89,299720.12,297.6691793542492,Available,0.0012670059274059817
Value-Oriented Buyers,190392,19,Apartment,44,982.8,293683.97,298.8237382987383,Available,0.0016015080593146421
Value-Oriented Buyers,110066,11,Apartment,8,1001.41,302352.69,301.92697296811497,Available,0.0016599081933233715
Value-Oriented Buyers,160066,16,Apartment,8,986.18,302579.35,306.81959682816523,Available,0.0017664309567051325
Value-Oriented Buyers,50178,5,Apartment,23,1006.65,301730.1,299.7368499478468,Available,0.0019636298384060422
Value-Oriented Buyers,190426,19,Apartment,49,1004.26,304945.99,303.65243064545035,Available,0.003801753752181775
Value-Oriented Buyers,190390,19,Apartment,44,982.8,304964.72,310.3019129019129,Available,0.003851692644353753
Premium Home Buyers,170312,17,Apartment,39,1341.67,406054.98,302.64892261137237,Available,0.0006263935329905706
Premium Home Buyers,40108,4,Apartment,14,1322.66,409829.82,309.85273615290396,Available,0.0019778207768431613
Premium Home Buyers,170317,17,Apartment,39,1341.67,401901.3,299.5530197440503,Available,0.0032377367737987384
Premium Home Buyers,3056,3,Apartment,56,1343.39,401894.82,299.16466551038786,Available,0.003272034450097382
Premium Home Buyers,150169,15,Apartment,22,1317.29,409770.8,311.0710625602563,Available,0.0032842959244549614
Premium Home Buyers,120112,12,Apartment,14,1369.96,412405.94,301.03502292037723,Available,0.005380298910197347
Premium Home Buyers,180508,18,Apartment,56,1311.59,413424.87,315.2089219954407,Available,0.006025346474774972
Premium Home Buyers,180509,18,Apartment,56,1311.59,404881.6,308.6952477527276,Available,0.006182543287419762
Premium Home Buyers,40115,4,Apartment,14,1322.66,417968.99,316.0063735200278,Available,0.006383553504138214
Premium Home Buyers,130085,13,Apartment,10,1314.38,416004.34,316.50233570200396,Available,0.006763723182801568
Frequent / Portfolio Buyers,180313,18,Apartment,36,1089.77,333059.43,305.6235994751186,Available,0.0007405453073156598
Frequent / Portfolio Buyers,80140,8,Office,17,1109.27,330111.23,297.59321896382306,Available,0.000800154110208855
Frequent / Portfolio Buyers,200137,20,Apartment,17,1089.33,333422.42,306.0802695234686,Available,0.0008201281774570314
Frequent / Portfolio Buyers,110410,11,Apartment,49,1095.85,336852.89,307.3895971163937,Available,0.0011500129427022617
Frequent / Portfolio Buyers,130503,13,Apartment,58,1115.72,332388.13,297.9135715053956,Available,0.001250992169653105
Frequent / Portfolio Buyers,190295,19,Apartment,35,1099.62,337529.18,306.9507466215602,Available,0.0013600965080614624
Frequent / Portfolio Buyers,200136,20,Apartment,17,1089.33,329276.52,302.27435212470056,Available,0.0015035182703846232
Frequent / Portfolio Buyers,170382,17,Office,47,1106.83,327842.55,296.1995518733681,Available,0.0016115032227435524
Frequent / Portfolio Buyers,120202,12,Apartment,23,1094.46,327725.79,299.4406282550298,Available,0.001737512910769244
Frequent / Portfolio Buyers,100170,10,Apartment,22,1116.68,330051.37,295.56486191209655,Available,0.001839960254951846
